Alpha_Node,Total_Support
AHR,-980
CDKN1B,-980
APLNR,-976
PIK3C3,-980
PIK3R4,-980
AR,-978
KLK3,-980
ARNT,-980
ALDOA,-980
ANGPT1,-980
ANGPT2,-980
ANGPT4,-980
BCL2,-980
CDKN1A,-980
EDN1,-980
EGF,-980
ENO1,-980
ENO2,-980
ENO3,-980
ENO4,-980
EPO,-980
FLT1,-980
GAPDH,-980
HK1,-980
HK2,-980
HK3,-980
HKDC1,-980
HMOX1,-980
LDHA,-980
LTBR,-980
NOS2,-980
NOS3,-980
NPPA,-980
PDK1,-980
PFKFB3,-980
PFKL,-980
PGK1,-980
SERPINE1,-980
SLC2A1,-980
TEK,-980
TF,-980
TFRC,-980
TIMP1,-980
VEGFA,-980
ARNTL,-980
BHLHE40,-980
BHLHE41,-980
CRY1,-980
CRY2,-980
NR1D1,-980
PER1,-980
PER2,-980
PER3,-980
RORA,-980
RORB,-980
RORC,-980
ASH2L,-980
CDKN2A,-980
CDKN2B,-980
CDKN2C,-980
ATF2,-978
MCL1,-980
FGF21,-980
PPARGC1A,-980
UCP1,-980
ZNF516,-980
INS,-980
TG,-980
CPT1A,-980
CPT1B,-980
CPT1C,-980
G6PC,-980
G6PC2,-980
G6PC3,-980
PCK1,-980
PCK2,-980
SIK1,-980
SIK1B,-980
CYP11B2,-980
STAR,-980
VEGFB,-980
VEGFC,-980
VEGFD,-980
CYP11B1,-980
CYP17A1,-980
NCEH1,-980
FOS,-916
TNFSF11,-980
POMC,-980
BDNF,-980
PDYN,-980
ARC,-980
FOSB,-978
CRH,-980
NPY,-980
CXCL8,-980
PCNA,-980
CCL2,-980
CCL5,-980
CXCL10,-980
ICAM1,-980
IL12A,-980
IL12B,-980
IL1A,-980
IL1B,-980
IL6,-980
TNF,-980
CCND1,-980
ATF4,-976
PRKN,-980
DDIT3,-980
ATF6B,-980
BBC3,-978
TP53,-980
TP53AIP1,-980
BCL3,-976
CCL17,-980
CCL22,-980
IL10,-980
IL23A,-980
BORCS8-MEF2B,-980
KLF2,-980
CAMK4,-980
CBL,-976
THBS1,-980
TIMP3,-980
CD40,-980
CDX2,-970
ABCB1,-980
CDH17,-980
MUC2,-980
REG4,-980
SHH,-980
CEBPA,-916
CSF3R,-980
E2F1,-980
E2F2,-980
E2F3,-980
MYC,-982
CIITA,-980
HLA-DMA,-980
HLA-DMB,-980
HLA-DOA,-980
HLA-DOB,-980
HLA-DPA1,-980
HLA-DPB1,-980
HLA-DQA1,-980
HLA-DQA2,-980
HLA-DQB1,-980
HLA-DRA,-980
HLA-DRB1,-980
HLA-DRB3,-980
HLA-DRB4,-980
HLA-DRB5,-980
CITED2,-980
BNIP3L,-980
CLOCK,-980
CREB1,-980
AQP2,-980
MITF,-980
JUN,-916
ACP5,-980
CALCR,-980
CTSK,-980
ITGB3,-980
REN,-980
CD74,-980
PTGER4,-980
CREB3,-980
CREB3L1,-980
CREB3L2,-980
CREB3L3,-980
CREB3L4,-980
CREB5,-980
CREBBP,-980
IFNB1,-980
CRTC2,-980
CTNNB1,-916
CCND2,-980
CCND3,-980
CCNE1,-980
CCNE2,-980
BNIP3,-980
FOXM1,-980
MYBL2,-980
CCNA1,-980
CCNA2,-980
E2F4,-916
E2F5,-916
EGFR,-980
PTGS2,-980
EGR1,-980
SPP1,-980
PTH,-980
EGR2,-980
FASLG,-980
EGR3,-980
EIF4EBP2,-976
CRYAB,-980
HSPA1A,-980
HSPA1B,-980
HSPA1L,-980
HSPA2,-980
HSPA6,-980
HSPA8,-980
SOD1,-980
SOD2,-980
ELK1,-980
BIRC2,-980
BIRC3,-980
XIAP,-980
FOSL1,-980
ELK4,-978
EP300,-980
EPAS1,-976
FIGF,-980
PDGFB,-980
PGF,-980
TGFA,-980
TGFB1,-980
TGFB2,-980
TGFB3,-980
ESR1,-918
CTSD,-980
EBAG9,-980
KRT10,-980
KRT12,-980
KRT13,-980
KRT14,-980
KRT15,-980
KRT16,-980
KRT17,-980
KRT18,-980
KRT19,-980
KRT20,-980
KRT23,-980
KRT24,-980
KRT25,-980
KRT26,-980
KRT27,-980
KRT28,-980
KRT31,-980
KRT32,-980
KRT33A,-980
KRT33B,-980
KRT34,-980
KRT35,-980
KRT36,-980
