Alpha_Node,Total_Support
hsa:2033,-43
hsa:7157,-43
hsa:1026,-43
hsa:572,-43
hsa:2308,-43
hsa:2475,-43
hsa:842,-43
hsa:3551,-43
hsa:1147,-43
hsa:4193,-43
hsa:8517,-43
hsa:1871,-43
hsa:1869,-43
hsa:1870,-43
hsa:207,-43
hsa:10000,-43
hsa:5170,-43
hsa:4790,-43
hsa:5970,-43
hsa:4792,-43
hsa:596,-43
hsa:208,-43
hsa:51176,-43
hsa:6932,-43
hsa:1017,-43
hsa:1387,-43
hsa:9586,-43
hsa:84699,-43
hsa:90993,-43
hsa:6934,-43
hsa:83439,-43
hsa:595,-43
hsa:1027,-43
hsa:9134,-43
hsa:1385,-43
hsa:5925,-43
hsa:898,-43
hsa:468,-43
hsa:64764,-43
hsa:2932,-43
hsa:10488,-43
hsa:1499,-43
hsa:148327,-43
hsa:4824,-43
