Alpha_Node,Total_Support
AHR,-668
CDKN1B,-670
APLNR,-666
PIK3C3,-670
PIK3R4,-670
AR,-668
KLK3,-670
ARNT,-670
ALDOA,-672
ANGPT1,-672
ANGPT2,-672
ANGPT4,-672
BCL2,-670
CDKN1A,-670
EDN1,-672
EGF,-672
ENO1,-672
ENO2,-672
ENO3,-672
ENO4,-672
EPO,-672
FLT1,-672
GAPDH,-672
HK1,-670
HK2,-670
HK3,-670
HKDC1,-670
HMOX1,-672
LDHA,-670
LTBR,-672
NOS2,-670
NOS3,-672
NPPA,-672
PDK1,-672
PFKFB3,-672
PFKL,-672
PGK1,-672
SERPINE1,-670
SLC2A1,-670
TEK,-672
TF,-672
TFRC,-672
TIMP1,-672
VEGFA,-670
ARNTL,-672
BHLHE40,-670
BHLHE41,-670
CRY1,-670
CRY2,-670
NR1D1,-660
PER1,-670
PER2,-670
PER3,-670
RORA,-660
RORB,-660
RORC,-660
ASH2L,-670
CDKN2A,-670
CDKN2B,-670
CDKN2C,-670
ATF2,-654
MCL1,-670
FGF21,-670
PPARGC1A,-684
UCP1,-672
ZNF516,-670
INS,-670
TG,-670
CPT1A,-670
CPT1B,-670
CPT1C,-670
G6PC,-672
G6PC2,-672
G6PC3,-672
PCK1,-670
PCK2,-670
SIK1,-670
SIK1B,-670
CYP11B2,-670
STAR,-670
VEGFB,-670
VEGFC,-670
VEGFD,-670
CYP11B1,-670
CYP17A1,-670
NCEH1,-670
FOS,-638
TNFSF11,-670
POMC,-670
BDNF,-670
PDYN,-670
ARC,-670
FOSB,-648
CRH,-670
NPY,-670
CXCL8,-670
PCNA,-670
CCL2,-672
CCL5,-672
CXCL10,-672
ICAM1,-672
IL12A,-670
IL12B,-670
IL1A,-672
IL1B,-672
IL6,-670
TNF,-672
CCND1,-670
ATF4,-658
PRKN,-672
DDIT3,-670
ATF6B,-662
BBC3,-666
TP53,-672
TP53AIP1,-670
BCL3,-670
CCL17,-670
CCL22,-670
IL10,-672
IL23A,-670
BORCS8-MEF2B,-668
KLF2,-730
CAMK4,-660
CBL,-668
THBS1,-670
TIMP3,-670
CD40,-672
CDX2,-660
ABCB1,-670
CDH17,-670
MUC2,-670
REG4,-670
SHH,-670
CEBPA,-624
CSF3R,-670
E2F1,-670
E2F2,-670
E2F3,-670
MYC,-672
CIITA,-670
HLA-DMA,-670
HLA-DMB,-670
HLA-DOA,-670
HLA-DOB,-670
HLA-DPA1,-670
HLA-DPB1,-670
HLA-DQA1,-670
HLA-DQA2,-670
HLA-DQB1,-670
HLA-DRA,-670
HLA-DRB1,-670
HLA-DRB3,-670
HLA-DRB4,-670
HLA-DRB5,-670
CITED2,-670
BNIP3L,-672
CLOCK,-670
CREB1,-664
AQP2,-670
MITF,-676
JUN,-638
ACP5,-672
CALCR,-672
CTSK,-672
ITGB3,-672
REN,-670
CD74,-670
PTGER4,-670
CREB3,-664
CREB3L1,-664
CREB3L2,-664
CREB3L3,-664
CREB3L4,-664
CREB5,-664
CREBBP,-672
IFNB1,-672
CRTC2,-670
CTNNB1,-622
CCND2,-670
CCND3,-672
CCNE1,-670
CCNE2,-670
BNIP3,-672
FOXM1,-670
MYBL2,-670
CCNA1,-670
CCNA2,-670
E2F4,-624
E2F5,-624
EGFR,-670
PTGS2,-670
EGR1,-670
SPP1,-670
PTH,-670
EGR2,-670
FASLG,-672
EGR3,-670
EIF4EBP2,-666
CRYAB,-670
HSPA1A,-670
HSPA1B,-670
HSPA1L,-670
HSPA2,-670
HSPA6,-670
HSPA8,-670
SOD1,-670
SOD2,-670
ELK1,-660
BIRC2,-670
BIRC3,-670
XIAP,-670
FOSL1,-672
ELK4,-658
EP300,-672
EPAS1,-670
FIGF,-672
PDGFB,-672
PGF,-672
TGFA,-672
TGFB1,-672
TGFB2,-672
TGFB3,-672
ESR1,-618
CTSD,-670
EBAG9,-670
KRT10,-670
KRT12,-670
KRT13,-670
KRT14,-670
KRT15,-670
KRT16,-670
KRT17,-670
KRT18,-670
KRT19,-670
KRT20,-670
KRT23,-670
KRT24,-670
KRT25,-670
KRT26,-670
KRT27,-670
KRT28,-670
KRT31,-670
KRT32,-670
KRT33A,-670
KRT33B,-670
KRT34,-670
KRT35,-670
KRT36,-670
KRT37,-670
KRT38,-670
KRT39,-670
KRT40,-670
KRT9,-670
LOC100653049,-670
PGR,-670
RARA,-626
TFF1,-670
ATP2B1,-670
CALB1,-670
SLC8A1,-670
TRPV5,-670
PPARD,-674
ESR2,-618
ETS1,-662
CDK4,-670
IL8,-670
MMP1,-672
MMP2,-672
MMP9,-672
ETS2,-658
BCL2L11,-672
FAS,-672
HRK,-672
NFATC1,-662
CCL3,-672
CCL3L1,-672
CCL3L3,-672
CCL4,-672
CCL4L1,-672
CCL4L2,-672
GATA3,-682
IFNG,-672
IL12RB1,-672
IL12RB2,-670
IL13,-670
IL2,-672
IL2RA,-672
IL4,-672
IL4R,-672
IL5,-670
TBX21,-656
CSF2,-672
CXCL1,-672
CXCL2,-672
CXCL3,-672
FGF2,-672
CTSL,-672
PDGFA,-672
SELE,-672
VCAM1,-672
CDK5,-672
GRIA2,-672
NFKB1,-666
RELA,-666
FOSL2,-672
FOXA2,-674
PDX1,-666
CAT,-670
FOXO1,-668
FBP1,-670
FBP2,-670
ATG12,-670
