Alpha_Node,Total_Support
AHR,-868
CDKN1B,-868
APLNR,-864
PIK3C3,-868
PIK3R4,-868
AR,-866
KLK3,-868
ARNT,-868
ALDOA,-868
ANGPT1,-868
ANGPT2,-870
ANGPT4,-868
BCL2,-868
CDKN1A,-868
EDN1,-870
EGF,-868
ENO1,-868
ENO2,-868
ENO3,-868
ENO4,-868
EPO,-868
FLT1,-868
GAPDH,-868
HK1,-868
HK2,-868
HK3,-868
HKDC1,-868
HMOX1,-868
LDHA,-868
LTBR,-868
NOS2,-868
NOS3,-868
NPPA,-868
PDK1,-868
PFKFB3,-868
PFKL,-868
PGK1,-868
SERPINE1,-868
SLC2A1,-868
TEK,-868
TF,-868
TFRC,-868
TIMP1,-868
VEGFA,-868
ARNTL,-870
BHLHE40,-868
BHLHE41,-868
CRY1,-868
CRY2,-868
NR1D1,-868
PER1,-868
PER2,-868
PER3,-868
RORA,-868
RORB,-868
RORC,-868
ASH2L,-868
CDKN2A,-866
CDKN2B,-868
CDKN2C,-868
ATF2,-866
MCL1,-880
FGF21,-880
PPARGC1A,-882
UCP1,-870
ZNF516,-868
INS,-868
TG,-868
CPT1A,-868
CPT1B,-868
CPT1C,-868
G6PC,-870
G6PC2,-870
G6PC3,-870
PCK1,-868
PCK2,-868
SIK1,-868
SIK1B,-868
CYP11B2,-868
STAR,-868
VEGFB,-868
VEGFC,-868
VEGFD,-868
CYP11B1,-868
CYP17A1,-868
NCEH1,-868
FOS,-738
TNFSF11,-868
POMC,-868
BDNF,-868
PDYN,-868
ARC,-868
FOSB,-864
CRH,-868
NPY,-868
CXCL8,-868
PCNA,-868
CCL2,-870
CCL5,-870
CXCL10,-868
ICAM1,-870
IL12A,-868
IL12B,-868
IL1A,-870
IL1B,-870
IL6,-870
TNF,-874
CCND1,-868
ATF4,-864
PRKN,-868
DDIT3,-868
ATF6B,-868
BBC3,-866
TP53,-870
TP53AIP1,-868
BCL3,-866
CCL17,-868
CCL22,-868
IL10,-870
IL23A,-868
BORCS8-MEF2B,-868
KLF2,-868
CAMK4,-858
CBL,-866
THBS1,-868
TIMP3,-868
CD40,-868
CDX2,-858
ABCB1,-868
CDH17,-868
MUC2,-868
REG4,-868
SHH,-868
CEBPA,-806
CSF3R,-868
E2F1,-868
E2F2,-868
E2F3,-868
MYC,-870
CIITA,-868
HLA-DMA,-868
HLA-DMB,-868
HLA-DOA,-868
HLA-DOB,-868
HLA-DPA1,-868
HLA-DPB1,-868
HLA-DQA1,-868
HLA-DQA2,-868
HLA-DQB1,-868
HLA-DRA,-868
HLA-DRB1,-868
HLA-DRB3,-868
HLA-DRB4,-868
HLA-DRB5,-868
CITED2,-868
BNIP3L,-868
CLOCK,-868
CREB1,-866
AQP2,-868
MITF,-868
JUN,-800
ACP5,-870
CALCR,-870
CTSK,-870
ITGB3,-870
REN,-868
CD74,-868
PTGER4,-868
CREB3,-866
CREB3L1,-866
CREB3L2,-866
CREB3L3,-866
CREB3L4,-866
CREB5,-866
CREBBP,-862
IFNB1,-870
CRTC2,-862
CTNNB1,-738
CCND2,-868
CCND3,-868
CCNE1,-868
CCNE2,-868
BNIP3,-868
FOXM1,-868
MYBL2,-868
CCNA1,-868
CCNA2,-868
E2F4,-804
E2F5,-804
EGFR,-868
PTGS2,-868
EGR1,-868
SPP1,-868
PTH,-868
EGR2,-868
FASLG,-870
EGR3,-868
EIF4EBP2,-864
CRYAB,-868
HSPA1A,-868
HSPA1B,-868
HSPA1L,-868
HSPA2,-868
HSPA6,-868
HSPA8,-868
SOD1,-868
SOD2,-868
ELK1,-868
BIRC2,-868
BIRC3,-868
XIAP,-868
FOSL1,-872
ELK4,-866
EP300,-862
EPAS1,-864
FIGF,-868
PDGFB,-870
PGF,-868
TGFA,-868
TGFB1,-868
TGFB2,-868
TGFB3,-868
ESR1,-800
CTSD,-868
EBAG9,-868
KRT10,-868
KRT12,-868
KRT13,-868
KRT14,-868
KRT15,-868
KRT16,-868
KRT17,-868
KRT18,-868
KRT19,-868
KRT20,-868
KRT23,-868
KRT24,-868
KRT25,-868
KRT26,-868
KRT27,-868
KRT28,-868
KRT31,-868
KRT32,-868
KRT33A,-868
KRT33B,-868
KRT34,-868
KRT35,-868
KRT36,-868
KRT37,-868
KRT38,-868
KRT39,-868
KRT40,-868
KRT9,-868
LOC100653049,-868
PGR,-868
RARA,-804
TFF1,-868
ATP2B1,-868
CALB1,-868
SLC8A1,-868
TRPV5,-868
PPARD,-870
ESR2,-800
ETS1,-868
CDK4,-868
IL8,-868
MMP1,-868
MMP2,-868
MMP9,-868
ETS2,-866
BCL2L11,-870
FAS,-870
HRK,-870
NFATC1,-870
CCL3,-870
CCL3L1,-870
CCL3L3,-870
CCL4,-870
CCL4L1,-870
CCL4L2,-870
GATA3,-870
IFNG,-870
IL12RB1,-870
IL12RB2,-870
IL13,-870
IL2,-870
IL2RA,-870
IL4,-870
IL4R,-870
IL5,-870
TBX21,-870
CSF2,-870
CXCL1,-870
CXCL2,-870
CXCL3,-870
FGF2,-870
CTSL,-870
PDGFA,-870
SELE,-870
VCAM1,-870
CDK5,-868
GRIA2,-868
NFKB1,-868
RELA,-868
FOSL2,-870
FOXA2,-868
PDX1,-864
CAT,-868
FOXO1,-862
FBP1,-868
FBP2,-868
ATG12,-868
ATM,-868
BCL6,-868
CCNB1,-868
CCNB2,-868
CCNB3,-868
CCNG2,-868
CDKN2D,-868
FBXO25,-868
FBXO32,-868
GABARAP,-868
GABARAPL1,-868
GABARAPL2,-868
GADD45A,-868
GADD45B,-868
GADD45G,-868
IL7R,-868
PLK1,-868
PLK2,-868
PLK3,-868
PLK4,-868
RAG1,-868
RAG2,-868
RBL2,-804
S1PR1,-868
S1PR4,-868
TNFSF10,-868
ATG5,-868
FOXO3,-860
GALT,-868
FOXO4,-868
FOXO6,-868
MAF,-868
GATA4,-868
TRAF3IP2,-868
GCM1,-868
GCM2,-868
GLI1,-868
BMP2,-868
BMP4,-868
BMP5,-868
BMP6,-868
BMP7,-868
BMP8A,-868
BMP8B,-868
GLI2,-868
GLI3,-868
HHIP,-868
PTCH1,-868
PTCH2,-868
WNT1,-868
WNT10A,-868
WNT10B,-868
WNT11,-868
WNT16,-868
WNT2,-868
WNT2B,-868
WNT3,-868
WNT3A,-868
WNT4,-868
WNT5A,-868
WNT5B,-868
WNT6,-868
WNT7A,-868
WNT7B,-868
WNT8A,-868
WNT8B,-868
WNT9A,-868
WNT9B,-868
GNAI1,-868
GNAI2,-868
GNAI3,-868
GNAO1,-868
HDAC1,-866
HDAC4,-860
MEF2A,-868
MEF2B,-868
MEF2C,-868
MEF2D,-868
HDAC5,-860
HES1,-804
ERBB2,-868
NFKB2,-868
HES5,-804
HEY1,-804
HEY2,-804
HEYL,-804
HIF1A,-868
PFKP,-868
PFKM,-868
PGAM1,-868
PGAM2,-868
PGAM4,-868
PKM,-868
HLA-A,-868
HLA-B,-868
HLA-C,-868
HLA-E,-868
HLA-F,-868
HLA-G,-868
HNF1A,-858
FOXA3,-868
HNF4A,-868
HNF4G,-868
PKLR,-868
SLC2A2,-868
HSF1,-868
IDO1,-868
IDO2,-868
IFNGR1,-866
MARCKSL1,-868
IFNGR2,-866
IL18R1,-868
IL18RAP,-868
IL6R,-868
SOCS3,-868
INSR,-866
PNPLA2,-868
IRF1,-868
IRF3,-834
CD80,-868
CD86,-868
CXCL11,-868
CXCL9,-868
IFNA1,-868
IFNA10,-868
IFNA13,-868
IFNA14,-868
IFNA16,-868
IFNA17,-868
IFNA2,-868
IFNA21,-868
IFNA4,-868
IFNA5,-868
IFNA6,-868
IFNA7,-868
IFNA8,-868
IFNE,-868
IFNK,-868
IFNW1,-868
IFIT1,-868
IFIT1B,-868
IL15,-868
APOBEC3A,-868
APOBEC3A_B,-868
APOBEC3B,-868
APOBEC3C,-868
APOBEC3D,-868
APOBEC3F,-868
APOBEC3G,-868
APOBEC3H,-868
BST2,-868
SAMHD1,-868
TRIM5,-868
IRF5,-870
IRF7,-868
IRF8,-868
IRF9,-850
IL17D,-868
EIF2AK1,-868
EIF2AK2,-868
EIF2AK3,-868
EIF2AK4,-868
MX1,-868
OAS1,-868
OAS2,-868
OAS3,-868
RSAD2,-868
ADAR,-868
PML,-804
ISG15,-868
JAG1,-868
AGER,-868
F3,-868
THBD,-868
MMP7,-868
CD44,-868
CD58,-868
ENTPD1,-868
ENTPD3,-868
ENTPD8,-868
FCER2,-868
ITGAL,-868
TNFAIP3,-868
VIM,-868
JUNB,-870
JUND,-866
BGLAP,-868
LRP5,-868
LRP6,-868
JUP,-800
KDM3A,-868
KDM3B,-868
KIR2DL1,-868
KIR2DL2,-868
KIR2DL3,-868
KIR2DL4,-868
KIR2DL5A,-868
NOS1,-868
ASS1,-868
GSTA1,-868
GSTA2,-868
GSTA3,-868
GSTA4,-868
GSTA5,-868
GSTM1,-868
GSTM2,-868
GSTM3,-868
GSTM4,-868
GSTM5,-868
GSTO1,-868
GSTO2,-868
GSTP1,-868
GSTT1,-868
GSTT2,-868
GSTT2B,-868
MGST1,-868
MGST2,-868
MGST3,-868
NPPC,-868
NQO1,-868
PLAT,-868
SQSTM1,-868
TXN,-868
TXN2,-868
KLF4,-868
SOX2,-868
KMT2A,-868
KMT2D,-868
LEF1,-798
BIRC5,-868
AXIN1,-868
AXIN2,-868
NKD1,-868
SNAI2,-868
MAFA,-868
MAFB,-868
MAML1,-866
HES2,-868
HES3,-868
HES4,-868
HES6,-868
HES7,-868
MAML2,-866
MAML3,-866
MAPK1,-862
IL18,-868
PLAU,-868
PLAUR,-868
JMJD7-PLA2G4B,-868
PLA2G4A,-868
PLA2G4B,-868
PLA2G4C,-868
PLA2G4D,-868
PLA2G4E,-868
PLA2G4F,-868
MAPK10,-870
MAPK11,-870
IRF4,-868
MAPK12,-870
MAPK13,-870
MAPK14,-870
MAPK3,-862
MAPK7,-864
