Alpha_Node,Total_Support
hsa:1956,10
hsa:2260,10
hsa:3480,10
hsa:4233,10
hsa:5156,10
hsa:5159,10
hsa:4893,8
hsa:3265,8
hsa:3845,8
hsa:2253,-8
hsa:1871,-8
hsa:2254,-8
hsa:2255,-8
hsa:5604,-8
hsa:4193,-8
hsa:2252,-8
hsa:1019,-8
hsa:2250,-8
hsa:2251,-8
hsa:26281,-8
hsa:2248,-8
hsa:2249,-8
hsa:2246,-8
hsa:2247,-8
hsa:1950,-8
hsa:26291,-8
hsa:1870,-8
hsa:7157,-8
hsa:5155,-8
hsa:5605,-8
hsa:595,-8
hsa:8823,-8
hsa:9965,-8
hsa:8817,-8
hsa:8822,-8
hsa:8074,-8
hsa:80310,-8
hsa:56034,-8
hsa:3479,-8
hsa:5154,-8
hsa:27006,-8
hsa:3082,-8
hsa:1869,-8
hsa:5925,-10
hsa:581,-10
hsa:578,-10
hsa:1029,-10
hsa:5595,-10
hsa:1643,-10
hsa:51426,-10
hsa:673,-10
hsa:10912,-10
hsa:4616,-10
hsa:1647,-10
hsa:1021,-10
hsa:1026,-10
hsa:5290,-10
hsa:5293,-10
hsa:5291,-10
hsa:8503,-10
hsa:5296,-10
hsa:5295,-10
hsa:369,-10
hsa:5894,-10
hsa:5594,-10
