Alpha_Node,Total_Support
hsa:2099,49
hsa:8313,49
hsa:1857,49
hsa:2100,49
hsa:1856,49
hsa:1855,49
hsa:3725,49
hsa:6667,49
hsa:8312,49
hsa:5241,49
hsa:2353,49
hsa:1499,49
hsa:54361,-9
hsa:7471,-9
hsa:8326,-9
hsa:7473,-9
hsa:7472,-9
hsa:581,-9
hsa:51384,-9
hsa:51426,-9
hsa:7475,-9
hsa:1643,-9
hsa:7474,-9
hsa:10912,-9
hsa:578,-9
hsa:8324,-9
hsa:8325,-9
hsa:5604,-9
hsa:1647,-9
hsa:11211,-9
hsa:4616,-9
hsa:8600,-9
hsa:7855,-9
hsa:2535,-9
hsa:8321,-9
hsa:7976,-9
hsa:1871,-9
hsa:1869,-9
hsa:1870,-9
hsa:8323,-9
hsa:8322,-9
hsa:7476,-9
hsa:7477,-9
hsa:5605,-9
hsa:8202,-9
hsa:7484,-9
hsa:80326,-9
hsa:7482,-9
hsa:122011,-9
hsa:1452,-9
hsa:7483,-9
hsa:10297,-9
hsa:324,-9
hsa:2932,-9
hsa:89780,-9
hsa:81029,-9
hsa:8648,-9
hsa:6932,-9
hsa:10023,-9
hsa:23401,-9
hsa:7480,-9
hsa:7481,-9
hsa:51176,-9
hsa:7478,-9
hsa:7479,-9
hsa:83439,-9
hsa:1950,-11
hsa:4851,-11
hsa:5595,-11
hsa:5925,-11
hsa:6655,-11
hsa:5295,-11
hsa:5594,-11
hsa:5291,-11
hsa:5290,-11
hsa:4854,-11
hsa:5293,-11
hsa:8503,-11
hsa:5296,-11
hsa:399694,-11
hsa:25759,-11
hsa:6464,-11
hsa:53358,-11
hsa:3479,-11
hsa:5894,-11
hsa:673,-11
hsa:6654,-11
hsa:2248,-11
hsa:2247,-11
hsa:2246,-11
hsa:8823,-11
hsa:8817,-11
hsa:8822,-11
hsa:27006,-11
hsa:8074,-11
hsa:26281,-11
hsa:26291,-11
hsa:369,-11
hsa:23493,-11
hsa:23462,-11
hsa:3280,-11
hsa:26508,-11
hsa:388585,-11
hsa:2254,-11
hsa:2255,-11
hsa:2253,-11
hsa:1021,-11
hsa:7157,-11
hsa:4040,-11
hsa:2250,-11
hsa:2251,-11
hsa:4041,-11
hsa:1019,-11
hsa:9965,-11
hsa:2249,-11
hsa:4855,-11
hsa:4853,-11
hsa:2252,-11
hsa:6934,-47
hsa:2885,-49
hsa:2260,-49
hsa:4609,-49
hsa:3265,-49
hsa:182,-49
hsa:4893,-49
hsa:3845,-49
hsa:1956,-49
hsa:3714,-49
hsa:2324,-49
hsa:3815,-49
hsa:2064,-49
hsa:595,-49
hsa:28514,-49
hsa:54567,-49
hsa:10683,-49
hsa:4791,-49
hsa:1026,-49
hsa:3480,-49
