Alpha_Node,Total_Support
hsa:673,17
hsa:6655,17
hsa:8503,17
hsa:5296,17
hsa:5295,17
hsa:5293,17
hsa:5291,17
hsa:5290,17
hsa:5894,17
hsa:8536,17
hsa:818,17
hsa:817,17
hsa:816,17
hsa:815,17
hsa:814,17
hsa:57172,17
hsa:57118,17
hsa:5578,17
hsa:5582,17
hsa:5579,17
hsa:369,17
hsa:6654,17
hsa:5336,-17
hsa:7039,-17
hsa:3479,-17
hsa:5155,-17
hsa:5154,-17
hsa:5594,-17
hsa:1950,-17
hsa:5595,-17
hsa:6464,-17
hsa:25759,-17
hsa:399694,-17
hsa:53358,-17
hsa:5335,-17
hsa:2885,-19
hsa:805,-19
hsa:808,-19
hsa:810,-19
hsa:91860,-19
hsa:1956,-19
hsa:5156,-19
hsa:5159,-19
hsa:801,-19
hsa:4893,-19
hsa:3845,-19
hsa:3265,-19
hsa:3480,-19
hsa:163688,-19
hsa:5605,-19
hsa:5604,-19
hsa:51806,-19
