Ensembl ID,Symbol,Alias symbol,Total_Support,Is Oncogene,Is Tumor Suppressor Gene,In OnkoKB,PubmedID
,SOCS,,-312,,,False,
ENSG00000281614,INPP5D,"SHIP, SHIP1, hp51CN",-312,No,No,True,
,BPAG2,,-322,,,False,
ENSG00000143622,RIT1,"MGC125864, MGC125865, RIBB, RIT, ROC1",-322,Yes,No,True,
,GDP,,-324,,,False,
,GTP,,-324,,,False,38593348
,PLCy,,-328,,,False,
ENSG00000145715,RASA1,"CM-AVM, GAP, RASA, p120GAP, p120RASGAP",-330,No,Yes,True,33125148
,AC,,-332,,,False,
,RIP,,-332,,,False,
,NAP,,-332,,,False,
ENSG00000185591,SP1,,-332,,,False,
ENSG00000138443,ABI2,,-332,,,False,
,Dynein,,-332,,,False,
ENSG00000114062,UBE3A,,-334,,,False,
,CAVEOLIN,,-334,,,False,
,ARNIP,,-334,,,False,
,APS,,-336,,,False,
ENSG00000165806,CASP7,,-336,,,False,
ENSG00000106070,GRB10,,-336,,,False,39223679
ENSG00000139687,RB1,"OSRC, PPP1R130, RB",-336,No,Yes,True,"31174843, 21295686"
,DISHEVELED,,-342,,,False,37683388
ENSG00000161835,TAMALIN,,-342,,,False,
ENSG00000140396,GRIP1,,-342,,,False,25295534
ENSG00000261150,EPPK1,,-342,,,False,
,TNFR2,,-342,,,False,
,RasGRP,,-344,,,False,
ENSG00000131788,PIAS3,,-344,,,False,
ENSG00000100592,DAAM1,,-344,,,False,
ENSG00000038382,TRIO,,-344,,,False,
ENSG00000115641,FHL2,,-344,,,False,
ENSG00000127314,RAP1B,,-344,,,False,
ENSG00000134072,CAMK1,,-344,,,False,
,nPKC,,-344,,,False,
,PTP,,-344,,,False,
,RASGRF,,-344,,,False,
,cPLA2,,-344,,,False,
ENSG00000128656,CHN1,"ARHGAP2, CHN, DURS2, n-chimerin",-344,No,No,True,
,p67phox,,-346,,,False,
ENSG00000168066,SF1,,-346,,,False,
,FILAMIN,,-346,,,False,
,CHAPSYN110,,-346,,,False,
,CYTOCHROMEC,,-346,,,False,
ENSG00000105229,PIAS4,,-346,,,False,
,CALRETICULIN,,-346,,,False,
ENSG00000126457,PRMT1,,-346,,,False,
,UBC9,,-346,,,False,
,SHP,,-346,,,False,
,AES,,-346,,,False,
